acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist,Genre
0.846,0.569,282320,0.117,0.852,5,0.0978,-22.741,1,0.0446,60.483,4.0,0.102,When Sunny Gets Blue,McCoy Tyner,2
0.0086,0.246,237947,0.843,0.241,4,0.137,-10.022,1,0.0396,80.047,4.0,0.681,Didn't You,Cloud Nothings,1
0.0832,0.492,232379,0.656,0.0,9,0.202,-7.361,1,0.0365,147.948,3.0,0.336,Great Are You Lord (Radio Mix),one sonic society,1
0.131,0.522,210816,0.86,0.0209,10,0.122,-3.773,0,0.145,128.019,4.0,0.263,Open,Yellow Claw,1
0.0132,0.807,330920,0.778,0.666,0,0.109,-5.485,1,0.0399,120.001,4.0,0.797,They Don't Know - Original Mix,Disciples,0
0.000304,0.316,245880,0.748,0.0139,2,0.608,-8.187,1,0.0413,79.337,4.0,0.239,It All Feels Right,Washed Out,1
0.397,0.596,224853,0.544,0.0,10,0.106,-7.294,1,0.0315,147.976,4.0,0.381,In Case You Didn't Know,Brett Young,0
0.00733,0.584,171067,0.716,0.0,0,0.0879,-4.737,1,0.0342,90.005,4.0,0.527,Sunday Morning,Parmalee,0
0.00266,0.557,186397,0.607,0.771,0,0.33,-10.088,1,0.0578,73.061,4.0,0.259,Sentimental Trash,Sweet Valley,0
0.0107,0.631,235025,0.893,0.00632,7,0.147,-5.123,1,0.0411,130.015,4.0,0.558,Concrete Angel (Radio Edit) (feat. Christina Novelli),Gareth Emery,1
0.0682,0.412,257846,0.83,0.00739,3,0.108,-4.976,0,0.0651,127.894,4.0,0.239,Last Chance,Kaskade,1
0.168,0.859,195613,0.756,4.65e-05,8,0.163,-3.36,0,0.0643,102.033,4.0,0.913,Chantaje,Shakira,0
0.379,0.335,255160,0.582,2.67e-05,5,0.0954,-5.09,1,0.0375,110.522,4.0,0.13,Even If,MercyMe,1
0.016,0.79,233813,0.616,0.13,0,0.136,-7.081,1,0.0388,111.038,4.0,0.373,Wait for a Minute,tUnE-yArDs,0
0.0112,0.465,232867,0.727,0.802,8,0.0964,-5.181,0,0.0353,118.149,4.0,0.47,Carl Sagan,Night Moves,1
0.0856,0.605,235000,0.884,0.000162,7,0.0501,-3.094,0,0.0611,125.989,4.0,0.364,Blackout - Madison Mars Radio Mix,Tritonal,1
0.403,0.683,142333,0.71,0.0,9,0.086,-7.445,1,0.114,128.181,4.0,0.93,It's My Party,Lesley Gore,0
0.19,0.63,348742,0.671,0.753,6,0.466,-7.727,0,0.0602,96.478,4.0,0.142,Don't Mean A Thing,Lapalux,1
0.304,0.654,222000,0.564,0.0,6,0.107,-7.186,1,0.235,86.948,4.0,0.458,When You're Mad,Ne-Yo,0
0.00325,0.686,280480,0.61,0.000123,5,0.0984,-7.952,0,0.0297,143.598,4.0,0.861,Akue We Non Houme - Jerk Fon,T. P. Orchestre Poly-Rythmo,0
0.000123,0.398,252005,0.955,0.458,7,0.299,-3.39,0,0.0698,100.03,4.0,0.134,The Call of Mighty,Crucify Me Gently,1
3.28e-05,0.401,194000,0.921,0.753,6,0.359,-3.287,0,0.0781,102.035,4.0,0.372,Bastard Son,God Of Nothing,1
0.455,0.627,262853,0.56,0.0,5,0.126,-5.378,1,0.0667,97.967,4.0,0.488,Can’t Live Without,Hollyn,0
0.503,0.41,256333,0.648,0.0,7,0.219,-4.469,1,0.0362,60.391,4.0,0.342,Don't You Cry For Me,Cobi,0
0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4.0,0.286,Mask Off,Future,0
0.116,0.685,201893,0.783,0.0,11,0.194,-4.152,1,0.0276,90.008,4.0,0.532,Dirt On My Boots,Jon Pardi,0
0.00116,0.669,211042,0.765,0.0,8,0.312,-7.885,1,0.051,131.946,4.0,0.163,MDA,Problem,1
0.0129,0.401,592920,0.661,7.72e-05,5,0.791,-6.111,0,0.0462,107.998,4.0,0.173,Pyramids,Frank Ocean,1
0.0178,0.69,230792,0.841,0.79,4,0.137,-5.592,0,0.0868,130.052,4.0,0.533,Rock The House - Radio Edit,Afrojack,0
0.0214,0.465,295880,0.633,0.79,11,0.105,-9.493,0,0.0578,130.074,4.0,0.0451,Plague,Crystal Castles,1
0.626,0.682,224000,0.518,0.43,8,0.0552,-10.089,1,0.227,118.539,4.0,0.963,Sah,Al Massrieen,0
0.000103,0.39,192011,0.978,0.941,11,0.12,-4.209,1,0.289,100.221,4.0,0.102,Rope,Obscure of Acacia,1
0.935,0.428,285601,0.187,0.853,10,0.103,-21.001,1,0.0375,108.962,4.0,0.171,Romance / Hommage à Milhaud,Enrico Pieranunzi,2
0.00158,0.857,134062,0.831,0.0,2,0.154,-4.664,1,0.0995,106.059,4.0,0.251,I Ain't Trippin off Nothin,Ezale,0
0.189,0.67,276688,0.679,0.0,7,0.168,-5.618,1,0.118,172.069,4.0,0.794,Si Me Dices Que Si (feat. Nicky Jam),Cosculluela,0
0.00104,0.595,247175,0.794,0.00733,0,0.0693,-5.186,1,0.0345,131.619,4.0,0.685,Doom And Gloom - Jeff Bhasker Mix,The Rolling Stones,0
0.0475,0.606,228147,0.503,0.0,7,0.116,-6.678,0,0.155,80.04,4.0,0.325,GOT IT GOOD,KAYTRANADA,0
0.00599,0.618,187760,0.96,0.0,4,0.058,-6.382,1,0.0327,131.988,4.0,0.949,Agadoo - original,Black Lace,0
0.000668,0.493,202496,0.956,0.0,1,0.416,-4.221,0,0.138,160.006,4.0,0.467,She Looks So Perfect,5 Seconds of Summer,1
0.941,0.349,176297,0.227,0.819,6,0.109,-12.298,1,0.031,100.449,4.0,0.15,Jackie Gets Out,Terence Blanchard,2
0.0119,0.473,196664,0.794,0.00218,9,0.418,-5.151,1,0.0462,139.313,4.0,0.293,Harlem Shake,Baauer,1
0.26,0.725,296693,0.487,1.09e-05,8,0.431,-5.959,0,0.0368,136.086,4.0,0.595,I Wanna Know,Joe,0
0.0584,0.967,242733,0.583,0.0,7,0.0519,-5.562,0,0.0789,117.0,4.0,0.965,SexyBack,Justin Timberlake,0
0.344,0.69,237040,0.737,0.0,1,0.243,-4.123,1,0.0363,115.02,4.0,0.821,I Blame Myself,Sky Ferreira,0
0.11,0.66,180480,0.867,0.0,6,0.0368,-4.285,0,0.116,93.033,4.0,0.376,Airplanes (feat. Hayley Williams of Paramore),B.o.B,0
0.24,0.683,213027,0.687,0.0,6,0.131,-5.833,0,0.0274,99.035,4.0,0.486,I Want It That Way,Backstreet Boys,0
0.0323,0.227,230373,0.635,0.125,7,0.117,-9.169,1,0.0754,170.179,4.0,0.36,High Ball Stepper,Jack White,1
0.116,0.685,204520,0.859,0.0,5,0.317,-2.595,0,0.0553,176.018,4.0,0.886,La Rompe Corazones,Daddy Yankee,1
0.00173,0.548,226172,0.811,3.56e-05,11,0.323,-3.985,1,0.0475,155.08,4.0,0.411,Fuck It All Up (feat. JVZEL),DOLF,1
0.971,0.45,289693,0.0437,0.88,10,0.0948,-29.46,1,0.0374,63.938,4.0,0.0906,Eleanor,Hank Jones,2
0.000595,0.805,445417,0.79,0.889,0,0.0296,-7.93,1,0.0577,122.994,4.0,0.533,Nobody Else - Original Mix,Dusky,0
0.00105,0.495,263687,0.955,0.0551,6,0.308,-4.181,1,0.0798,130.002,4.0,0.362,Dirty Waters,Into Oblivion,1
0.453,0.511,406280,0.453,0.000212,3,0.0865,-6.803,0,0.0314,138.309,4.0,0.142,Earth Song - Remastered Version,Michael Jackson,2
0.0641,0.667,201964,0.673,4e-06,0,0.0975,-7.574,1,0.323,144.256,4.0,0.661,Thiago Silva,Dave,0
0.000299,0.697,238206,0.68,0.00674,2,0.125,-6.847,1,0.0318,98.002,4.0,0.288,On'n'On - Ruined by Rick Rubin,Justice,0
0.0219,0.735,269817,0.641,0.89,7,0.168,-6.177,0,0.0284,105.993,4.0,0.886,Hercules Theme,Hercules & Love Affair,0
0.000704,0.657,190186,0.827,0.00534,5,0.065,-4.036,1,0.0734,145.889,4.0,0.698,GDFR (feat. Sage The Gemini & Lookas),Flo Rida,0
0.0316,0.68,211853,0.725,1.81e-05,6,0.112,-3.92,1,0.0611,140.048,4.0,0.26,Faded - Slushii Remix,Alan Walker,1
0.000482,0.258,282101,0.905,0.000489,10,0.686,-4.897,1,0.136,112.94,4.0,0.16,Dance of the Witch,At Rest,1
0.813,0.745,132947,0.544,0.0,5,0.0975,-9.137,0,0.0654,125.345,4.0,0.776,Three Cool Cats,The Coasters,0
0.00207,0.587,546467,0.915,0.579,4,0.136,-8.307,0,0.0404,128.004,4.0,0.539,Plastic - Extended Mix,New Order,0
0.021,0.571,237680,0.719,0.0,11,0.458,-7.206,0,0.0378,80.694,4.0,0.538,Everybody Loves The Sunshine,Roy Ayers Ubiquity,0
0.175,0.581,247497,0.312,5.57e-05,5,0.104,-8.984,0,0.054,181.893,4.0,0.506,Sooni (I'm your fanatic girl),SunWoo Jung-A,0
0.0394,0.567,217480,0.678,0.0,10,0.102,-6.642,0,0.0404,141.951,4.0,0.381,Glimpse,Kim Walker-Smith,1
0.0332,0.749,267800,0.802,0.0499,7,0.611,-6.159,0,0.0471,106.077,4.0,0.824,Flashlight,Parliament,0
0.0243,0.631,218093,0.838,0.0,11,0.0512,-6.817,0,0.0818,127.938,4.0,0.392,When Can I See You Again?,Owl City,0
0.299,0.51,178320,0.602,0.0,3,0.126,-6.317,1,0.0616,148.077,4.0,0.305,"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack",Hailee Steinfeld,1
0.167,0.761,252003,0.829,0.0,0,0.189,-3.203,0,0.0681,92.033,4.0,0.82,Ay Mi Dios,IAmChino,0
0.248,0.576,235187,0.602,0.000609,0,0.144,-6.591,0,0.315,141.345,4.0,0.57,"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track",Hermitude,1
0.267,0.563,315787,0.847,0.0,0,0.243,-6.19,1,0.325,82.757,4.0,0.81,Can I Touch You...There?,Michael Bolton,0
0.163,0.688,240000,0.719,0.0,2,0.15,-4.746,1,0.0555,88.015,4.0,0.589,Bailame Despacio,Xantos,0
0.234,0.674,167200,0.706,7.98e-05,8,0.0958,-4.824,1,0.0586,160.023,4.0,0.962,Happy People,Little Big Town,0
0.144,0.736,185588,0.616,2.29e-06,4,0.268,-8.016,1,0.0345,101.966,4.0,0.89,Safe,Bay Ledges,0
0.107,0.632,249147,0.518,0.0,6,0.354,-6.126,1,0.0313,90.007,4.0,0.45,If I Were a Boy,Beyoncé,0
0.00079,0.771,248991,0.248,0.1,5,0.341,-20.815,0,0.0802,139.937,4.0,0.281,Kathy Lee,Jessy Lanza,2
0.918,0.331,507533,0.0861,0.902,5,0.106,-21.226,1,0.0354,107.436,4.0,0.152,I Have Dreamed,Christian McBride,2
0.00767,0.541,308360,0.982,0.000765,2,0.291,-4.908,1,0.107,104.03,4.0,0.721,Elevate,St. Lucia,1
0.000954,0.775,188013,0.823,0.0,1,0.144,-6.091,1,0.271,130.041,4.0,0.288,Black Skinhead,Kanye West,1
5.83e-05,0.296,229859,0.983,0.146,11,0.508,-2.999,1,0.169,115.003,4.0,0.231,Defiled,Hive,1
0.0778,0.729,289627,0.527,0.0,9,0.382,-6.338,1,0.0708,126.012,4.0,0.23,Sanctified,Rick Ross,1
0.0988,0.856,247800,0.874,0.000472,11,0.339,-8.037,0,0.0401,122.416,4.0,0.91,Got To Give It Up (Part 1),Marvin Gaye,0
0.306,0.546,191250,0.772,0.0,5,0.0733,-5.311,0,0.0477,127.942,4.0,0.255,Otherside,Suyano,1
0.466,0.657,204960,0.485,0.0,3,0.0889,-5.634,0,0.0672,135.805,4.0,0.402,First Heartbreak,Tori Kelly,0
0.285,0.88,151987,0.697,7.66e-05,4,0.0889,-8.468,0,0.328,129.989,4.0,0.761,Plottin,J HUS,0
0.971,0.633,149072,0.12,0.871,5,0.121,-20.066,0,0.0428,115.51,3.0,0.473,Fools Rush In,Teddy Wilson,2
0.0406,0.488,226173,0.915,0.0,7,0.351,-4.255,1,0.0389,75.019,4.0,0.637,May We All,Florida Georgia Line,1
0.00166,0.587,205307,0.841,0.53,11,0.117,-5.079,0,0.0476,142.95,4.0,0.696,Celebrando,CLUBZ,1
0.565,0.63,247293,0.374,0.00146,5,0.107,-11.305,1,0.177,166.999,4.0,0.573,Somebody Was Watching,Pops Staples,0
0.114,0.858,290836,0.697,0.0,2,0.224,-5.361,1,0.23,98.012,4.0,0.365,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Lil Dicky,0
0.27,0.446,259765,0.89,0.661,7,0.451,-7.974,1,0.0308,170.002,4.0,0.503,Sophia So Far,Goodnight Radio,1
0.0852,0.858,203373,0.789,0.0,11,0.229,-7.462,0,0.291,125.993,4.0,0.658,212,Azealia Banks,0
2.13e-05,0.222,278577,0.985,0.00644,7,0.775,-4.105,1,0.149,136.227,4.0,0.16,Black Mammoth,Fit For An Autopsy,1
0.104,0.475,219280,0.92,0.0,5,0.575,-4.991,1,0.0941,154.906,4.0,0.729,Revival,Third Day,1
0.153,0.725,230400,0.918,0.0328,10,0.113,-4.912,0,0.0676,125.009,4.0,0.191,Feel The Volume,Jauz,1
0.211,0.418,230720,0.547,0.0443,1,0.187,-4.932,1,0.0295,131.99,4.0,0.127,Queen,Perfume Genius,1
4.82e-05,0.409,200677,0.992,2.03e-06,3,0.1,-2.803,0,0.108,149.859,4.0,0.339,Paranoia,A Day To Remember,1
0.309,0.421,285120,0.407,0.000961,10,0.11,-7.445,1,0.0267,139.028,3.0,0.168,A Thousand Years,Christina Perri,1
0.000599,0.487,324807,0.68,0.0339,7,0.144,-8.497,0,0.0408,94.46,3.0,0.076,Your Soul,Hippie Sabotage,1
0.0416,0.348,223227,0.856,0.0,2,0.203,-3.216,0,0.0979,188.046,4.0,0.261,Fall In Love,Phantogram,1
3.41e-05,0.123,99413,0.963,0.0329,10,0.292,-4.182,1,0.0543,198.04,4.0,0.68,Wake Bake Skate,FIDLAR,1
0.282,0.738,202286,0.818,0.000543,2,0.101,-3.652,0,0.0692,139.998,4.0,0.53,Make You Mine,Aire Atlantica,0
0.225,0.696,230933,0.713,2.22e-06,11,0.194,-5.114,0,0.123,189.932,4.0,0.368,Rise,Kim Walker-Smith,1
0.769,0.808,118353,0.593,2.07e-06,1,0.111,-9.395,1,0.344,89.876,4.0,0.88,36 Chamber Flow,Flatbush Zombies,0
0.013,0.888,200080,0.483,4.85e-06,6,0.0926,-7.797,1,0.154,125.008,4.0,0.221,No Type,Rae Sremmurd,0
0.0171,0.726,212409,0.889,0.00106,6,0.0741,-4.251,0,0.0304,119.983,4.0,0.531,PIZZA,Oohyo,0
0.661,0.476,231920,0.527,0.0,1,0.307,-6.406,1,0.0399,152.117,3.0,0.205,Speak to a Girl,Tim McGraw,1
0.36,0.784,212154,0.649,0.000684,0,0.115,-6.905,1,0.292,140.203,4.0,0.503,Tuesday,ILoveMakonnen,0
0.00011,0.742,449499,0.965,0.607,1,0.0703,-8.291,0,0.0538,123.04,4.0,0.391,Spacer Woman - Vocal,Charlie,0
0.394,0.484,160187,0.265,0.0,0,0.149,-11.101,1,0.0322,113.564,3.0,0.282,You'll Never Walk Alone - 2002 Remastered Version,Gerry & The Pacemakers,2
0.0227,0.698,248053,0.804,0.0599,4,0.566,-6.616,1,0.111,92.001,4.0,0.786,Pussy,Brazilian Girls,0
0.000102,0.491,309734,0.928,0.363,9,0.14,-3.866,1,0.0938,132.973,4.0,0.14,False Hope,The Machinist,1
0.0487,0.289,273000,0.523,0.000293,6,0.0561,-9.531,1,0.0488,145.556,4.0,0.366,Walk On By - Single Version,Isaac Hayes,1
0.00838,0.587,235440,0.866,3.55e-05,9,0.15,-6.444,1,0.0816,107.986,3.0,0.42,Ambling Alp,Yeasayer,1
0.0656,0.828,299333,0.433,0.000876,0,0.122,-9.716,1,0.199,148.073,4.0,0.446,Lollipop,Lil Wayne,0
0.0559,0.599,243589,0.645,0.108,0,0.0857,-6.098,1,0.0315,141.209,4.0,0.371,Clouds Over the Pacific,James Pants,1
0.00947,0.718,171933,0.844,0.711,8,0.122,-8.045,1,0.0581,94.988,4.0,0.54,The Yes Strut,Teams vs. Star Slinger,0
0.0705,0.71,166290,0.884,0.0,1,0.0765,-1.258,1,0.347,149.995,4.0,0.579,Help,Borgore,1
0.487,0.559,111270,0.633,0.0,7,0.164,-3.265,1,0.0329,72.496,4.0,0.842,He's So Fine - 2000 Digital Remaster,The Chiffons,0
0.059,0.624,187838,0.732,0.0142,4,0.254,-6.372,0,0.0273,132.025,4.0,0.292,All Aloud,Adrian Lux,1
0.56,0.654,185804,0.499,0.907,4,0.169,-9.084,0,0.0428,103.966,4.0,0.124,The Winner Is - from Little Miss Sunshine,DeVotchKa,2
0.957,0.356,342373,0.0937,0.096,8,0.209,-16.64,0,0.0353,86.669,3.0,0.259,Goodbye Pork Pie Hat,Charles Mingus,2
0.0172,0.496,190582,0.54,0.0367,7,0.13,-7.121,0,0.0324,131.337,5.0,0.172,Hold On We're Going Home,ASTR,1
0.0235,0.714,176250,0.851,0.00697,6,0.1,-3.387,0,0.121,128.004,4.0,0.692,Move On Me,Tom & Jame,0
0.143,0.658,252053,0.696,0.0,3,0.131,-4.293,1,0.0707,85.998,4.0,0.655,With You,Chris Brown,0
0.000479,0.695,218187,0.579,0.0,0,0.0556,-5.066,1,0.0325,88.957,4.0,0.731,Bring It All to Me,Blaque,0
0.00919,0.45,201602,0.782,0.101,11,0.123,-6.769,1,0.0364,173.954,4.0,0.209,Unbound,Cathedrals,1
0.466,0.635,244160,0.54,0.0,7,0.0524,-8.122,1,0.0246,99.99,4.0,0.586,Don't Love You No More (I'm Sorry),Craig David,0
0.0024,0.547,228040,0.511,1.24e-06,11,0.109,-5.802,1,0.0294,143.968,4.0,0.179,To Live Is Christ,Sidewalk Prophets,1
0.265,0.546,201413,0.76,7.47e-05,8,0.0948,-6.763,1,0.0428,151.456,4.0,0.461,Cleopatra,The Lumineers,1
0.0079,0.428,316444,0.74,0.935,0,0.0985,-10.026,1,0.0588,134.981,4.0,0.0576,Club Rez,Girl Unit,1
0.0124,0.612,231765,0.858,0.0,7,0.0984,-5.437,0,0.0478,145.306,4.0,0.451,Make Them Gold,CHVRCHES,1
0.16,0.773,211907,0.801,0.0,0,0.111,-5.562,1,0.0281,98.205,4.0,0.8,As Long as You Love Me,Backstreet Boys,0
0.0245,0.803,316373,0.427,0.405,8,0.0953,-10.819,1,0.0509,118.008,4.0,0.451,Dorothy,Polo & Pan,0
0.602,0.637,156430,0.498,0.119,1,0.305,-9.367,1,0.0231,92.227,4.0,0.931,The Way You’d Love Her,Mac Demarco,0
0.229,0.694,228827,0.815,0.0,2,0.0924,-4.328,1,0.12,88.931,4.0,0.826,Despacito - Remix,Luis Fonsi,0
0.0621,0.736,190440,0.539,0.0312,1,0.12,-8.316,1,0.0936,147.73,4.0,0.761,Zion Gate Dub,King Tubby,0
0.214,0.638,196422,0.634,0.0,6,0.0866,-6.474,1,0.0468,92.097,4.0,0.445,I Could Use a Love Song,Maren Morris,0
0.0581,0.748,306600,0.586,0.0,1,0.156,-2.554,1,0.0512,140.067,4.0,0.162,Birthday Song,2 Chainz,1
0.00593,0.608,187761,0.841,0.0573,0,0.121,-3.798,1,0.0464,167.969,4.0,0.25,Thunder,Imagine Dragons,1
0.0124,0.412,205440,0.871,0.000128,1,0.2,-4.893,0,0.0458,125.043,4.0,0.132,Calling (Lose My Mind) - Radio Edit,Sebastian Ingrosso,1
0.135,0.749,267307,0.647,0.0,2,0.142,-6.878,1,0.137,146.024,4.0,0.196,C'Est La Vie,Booba,1
0.00217,0.639,296276,0.978,0.112,11,0.0838,-2.376,1,0.073,144.986,4.0,0.494,Let It Go - Scott Melker & Mister Gray Remix,NERVO,1
0.0628,0.727,289267,0.548,0.526,10,0.133,-7.393,1,0.0291,107.826,4.0,0.93,Every 1's A Winner - Single Version,Hot Chocolate,0
0.371,0.837,245581,0.492,0.0401,0,0.102,-7.792,1,0.354,85.951,4.0,0.407,It's Strange (feat. K.Flay),Louis The Child,0
0.219,0.698,223191,0.515,0.0,4,0.124,-13.029,1,0.0605,85.023,4.0,0.712,Here I Come (Broader Than Broadway),Barrington Levy,0
0.16,0.561,295493,0.555,0.0,11,0.114,-9.734,0,0.0287,134.369,4.0,0.509,What's Up?,4 Non Blondes,0
4.06e-05,0.683,230587,0.698,0.000113,9,0.058,-6.255,1,0.0395,125.999,4.0,0.962,All Of Me,Tanlines,0
